,country_name,country_code,gdp_us_billion,mat_mort_ratio,population
150,Panama,PAN,48.2593427,97.75,3.9037508
151,Peru,PER,195.24438695320535,71.25,30.9697092
152,Philippines,PHL,280.8384492060486,119.5,100.0973008
153,Palau,PLW,0.25484,,0.0211126
154,Papua New Guinea,PNG,15.911157981239134,221.5,7.756860400000001
155,Poland,POL,503.3112623386862,3.0,38.0099046
156,Puerto Rico,PRI,102.107758,14.75,3.5293854
157,"Korea, Dem. People's Rep.",PRK,,86.25,25.113782
158,Portugal,PRT,215.1436970551936,10.25,10.4111776
159,Paraguay,PRY,27.8331214395299,135.25,6.552394
160,West Bank and Gaza,PSE,12.50822,47.5,4.296959599999999
161,French Polynesia,PYF,,,0.2757226
162,Qatar,QAT,181.77923076923065,13.25,2.3571606000000003
163,Romania,ROU,185.3840910058606,30.75,19.8942978
164,Russian Federation,RUS,1822.691700385484,25.25,143.79350380000002
165,Rwanda,RWA,7.918320022940794,312.0,11.3492844
166,Saudi Arabia,SAU,707.9361203068187,12.25,30.7280772
167,Sudan,SDN,83.01673176742091,321.0,37.7609308
168,Senegal,SEN,14.53955475794296,331.0,14.5517104
169,Singapore,SGP,298.724394241092,10.75,5.4647216
170,Solomon Islands,SLB,1.1145346158866538,120.0,0.5754898
171,Sierra Leone,SLE,4.33160391188869,1435.0,7.0801118
172,El Salvador,SLV,25.213714,55.0,6.2820824
173,San Marino,SMR,,,0.0326074
174,Somalia,SOM,5.78525,762.75,13.527075
175,Serbia,SRB,41.07564366234174,16.75,7.129316
176,South Sudan,SSD,11.480938596095084,827.5,11.527917
177,Sao Tome and Principe,STP,0.3145399863695227,159.5,0.1913326
178,Suriname,SUR,4.773159015765863,157.5,0.5478242
179,Slovak Republic,SVK,93.89447347403916,6.0,5.418425200000001
180,Slovenia,SVN,46.04886267817398,8.75,2.0614936
181,Sweden,SWE,540.626904309505,4.0,9.7036342
182,Swaziland,SWZ,4.3468165429974,400.5,1.295364
183,Sint Maarten (Dutch part),SXM,,,0.0375521999999999
184,Seychelles,SYC,1.366581102988578,,0.0915414
185,Syrian Arab Republic,SYR,,62.0,19.3196744
186,Turks and Caicos Islands,TCA,,,0.0337034
187,Chad,TCD,11.945941624528256,892.25,13.5740236
188,Togo,TGO,4.183610270151676,380.75,7.2309042
189,Thailand,THA,406.1369035633878,21.0,68.384986
190,Tajikistan,TJK,8.036228249158343,33.25,8.3638436
191,Turkmenistan,TKM,37.973095839599,43.5,5.465637
192,Timor-Leste,TLS,1.36142965,240.25,1.2127176000000002
193,Tonga,TON,0.4391788826101096,129.25,0.1059094
194,Trinidad and Tobago,TTO,24.57094700955452,63.25,1.3538766
195,Tunisia,TUN,44.82437395584522,63.25,11.1444086
196,Turkey,TUR,895.1755765679472,17.5,77.0343452
197,Tuvalu,TUV,0.0364699912607326,,0.01091
198,Tanzania,TZA,44.93554179893688,429.5,52.2813238
199,Uganda,UGA,25.941460671399582,366.5,38.865339
200,Ukraine,UKR,135.3792751296947,24.25,45.3027042
201,Uruguay,URY,54.34513229567844,15.5,3.4199772000000004
202,United States,USA,17369.1246,14.0,318.5581748
203,Uzbekistan,UZB,61.34064873788879,37.0,30.7845
204,St. Vincent and the Grenadines,VCT,0.730106762962963,45.75,0.1094206
205,"Venezuela, RB",VEN,376.1462684839555,97.0,30.7345238
206,British Virgin Islands,VGB,,,0.0295854
207,Virgin Islands (U.S.),VIR,3.812,,0.1041414
208,Vietnam,VNM,181.8207364226802,54.75,90.7424
209,Vanuatu,VUT,0.7828759527813631,82.5,0.2588963999999999
210,Samoa,WSM,0.7998873473870242,54.75,0.192225
211,Kosovo,XKX,6.804619738171179,,1.81382
212,"Yemen, Rep.",YEM,36.819336504567325,399.75,26.2466076
213,South Africa,ZAF,345.209888495274,143.75,54.17720942170144
214,Zambia,ZMB,24.280989919565,233.75,15.6332196
215,Zimbabwe,ZWE,15.49551386,398.0,15.420964
